x,y,radius,perimeter,area,compactness,diagnosis
257.0,578.0,69.10125200101758,433.9558625663905,14993.446708259551,12.56083775518729,M
247.0,563.0,54.866103042926724,344.55912710957983,9452.308286187545,12.561328916549929,B
260.0,527.0,53.80520917035697,337.8967135898418,9090.30167633882,12.561381844331642,B
248.0,695.0,55.705232608154475,349.8288607792101,9743.649031375793,12.561289177097475,B
280.0,734.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
379.0,699.0,59.99025050108944,376.73877314684165,11300.326687276067,12.561111570657935,B
283.0,456.0,54.866103042926724,344.55912710957983,9452.308286187545,12.561328916549929,B
280.0,497.0,48.79210204297461,306.41440082988066,7475.301356364231,12.561680424617787,B
258.0,698.0,78.35461289938212,492.06696900811966,19277.85843860174,12.560651558449733,M
197.0,608.0,56.77450986752104,356.5439219680321,10121.303207989346,12.561241069535356,B
267.0,471.0,57.73553466765995,362.57915771290453,10466.85076495217,12.561200093550164,B
253.0,713.0,54.866103042926724,344.55912710957983,9452.308286187545,12.561328916549929,B
268.0,589.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
274.0,648.0,58.24682240157193,365.79004468187173,10653.053884424022,12.561179115327079,B
245.0,423.0,57.73553466765995,362.57915771290453,10466.85076495217,12.561200093550164,B
220.0,396.0,69.10125200101758,433.9558625663905,14993.446708259551,12.56083775518729,M
306.0,661.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
0.0,713.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
286.0,548.0,72.66023696192703,456.30628812090174,16577.661511041035,12.560757691769938,M
359.0,712.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
252.0,703.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
227.0,579.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
254.0,695.0,65.48665790009396,411.25621161259005,13465.897419581162,12.560932795817793,B
224.0,645.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
372.0,371.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
280.0,700.0,52.07150896306594,327.00907628805413,8513.928023468663,12.561475403053494,B
335.0,718.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
165.0,721.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
248.0,556.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
202.0,668.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
277.0,597.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
376.0,594.0,78.35461289938212,492.06696900811966,19277.85843860174,12.560651558449733,M
327.0,670.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
0.0,618.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
327.0,580.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
0.0,642.0,62.87350285075421,394.84559790273636,12412.662912672722,12.56101195142733,B
224.0,627.0,61.09401037029949,383.6703851254808,11719.98124381646,12.561071765517724,B
151.0,633.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
283.0,547.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
0.0,516.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
267.0,632.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
199.0,605.0,58.66235366789679,368.39958103439176,10805.593256872246,12.561162468563268,B
263.0,572.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
86.0,694.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
262.0,572.0,56.439525351110106,354.44021920497147,10002.218868636008,12.561255846928756,B
212.0,627.0,54.29587456363435,340.9780922596237,9256.851863137932,12.561356979366753,B
269.0,677.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
434.0,709.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
276.0,664.0,54.29587456363435,340.9780922596237,9256.851863137932,12.561356979366753,B
333.0,697.0,56.77450986752104,356.5439219680321,10121.303207989346,12.561241069535356,B
662.0,708.0,58.66235366789679,368.3995810343919,10805.59325687225,12.561162468563271,B
415.0,638.0,56.77450986752104,356.5439219680321,10121.303207989346,12.561241069535356,B
607.0,614.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
429.0,582.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
594.0,625.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
405.0,539.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
561.0,739.0,61.09401037029947,383.67038512548066,11719.981243816455,12.561071765517724,B
432.0,714.0,50.95802120162941,320.0163731462327,8153.700563827138,12.561540593807127,B
561.0,596.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
445.0,696.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
617.0,560.0,63.54923546199888,399.089198701353,12680.906729306367,12.560990543563776,B
441.0,578.0,48.512524002156496,304.65865073354286,7389.880053087806,12.561699851656785,B
590.0,642.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
425.0,672.0,72.07814519943163,452.65075185243063,16313.11330832569,12.56076997993838,M
651.0,650.0,69.10125200101758,433.9558625663905,14993.446708259551,12.56083775518729,M
397.0,643.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
525.0,723.0,55.70523260815447,349.82886077921006,9743.649031375793,12.561289177097475,B
411.0,668.0,62.517920708881995,392.61254205177903,12272.659886652858,12.56102349642314,B
661.0,668.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
382.0,674.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
577.0,602.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
407.0,593.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
581.0,591.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
427.0,586.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
590.0,560.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
460.0,617.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
659.0,757.0,66.8768864004492,419.98684659482103,14043.70631470236,12.560894414489525,M
382.0,733.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
607.0,637.0,59.7403306682789,375.16927659679163,11206.368320235659,12.561120891312187,B
424.0,649.0,64.48564394949149,404.96984400280655,13057.370585323048,12.560961982498727,B
496.0,584.0,43.14582889431658,270.95580545630816,5845.306410069801,12.562149100187213,B
378.0,691.0,50.95802120162941,320.0163731462327,8153.700563827138,12.561540593807127,B
533.0,692.0,65.64951112026355,412.2789298352552,13532.95509443497,12.560928173343198,B
371.0,763.0,84.22614719933581,528.940204411829,22275.29775821874,12.560563878607368,M
600.0,707.0,77.74721279938692,488.25249638014986,18980.1353679497,12.56066177935699,M
